127.0.0.1 - - [12/Mar/2017:08:47:16 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:06 +0700] "GET /web-client/resource/view/template/assets/css/blue.css HTTP/1.1" 200 16258
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:06 +0700] "GET /web-client/resource/view/template/assets/css/owl.transitions.css HTTP/1.1" 200 4638
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:06 +0700] "GET /web-client/resource/view/template/assets/css/owl.carousel.css HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:06 +0700] "GET /web-client/resource/view/template/assets/css/rateit.css HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:06 +0700] "GET /web-client/resource/view/template/assets/css/animate.min.css HTTP/1.1" 200 53436
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:06 +0700] "GET /web-client/resource/view/template/assets/css/font-awesome.css HTTP/1.1" 200 37175
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:06 +0700] "GET /web-client/resource/view/template/assets/css/bootstrap-select.min.css HTTP/1.1" 200 5693
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:06 +0700] "GET /web-client/resource/view/template/assets/css/main.css HTTP/1.1" 200 158504
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:06 +0700] "GET /web-client/resource/view/template/assets/css/bootstrap.min.css HTTP/1.1" 200 109522
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:07 +0700] "GET /web-client/resource/view/template/assets/images/logo.png HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:07 +0700] "GET /web-client/resource/view/template/assets/images/cart.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:07 +0700] "GET /web-client/resource/view/template/assets/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23320
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:07 +0700] "GET /web-client/resource/view/template/assets/fonts/fontawesome-webfont.woff2?v=4.6.2 HTTP/1.1" 200 71760
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:08 +0700] "GET /web-client/ HTTP/1.1" 200 187712
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:09 +0700] "GET /web-client/resource/view/template/assets/images/products/p1.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:09 +0700] "GET /web-client/resource/view/template/assets/images/banners/top-menu-banner.jpg HTTP/1.1" 200 1511
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:09 +0700] "GET /web-client/resource/view/template/assets/images/products/p2.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:09 +0700] "GET /web-client/resource/view/template/assets/images/banners/banner-side.png HTTP/1.1" 200 877
